Title                                   PopularityNormal    Flag       Genres                                                      
 Batman: The Animated Series             298.694   0         0         {"Action & Adventure",Animation,Drama,Mystery}              
 The Office                              340.761   0         0         {Comedy}                                                    
 Heartland                               237.463   0         0         {Family,Drama}                                              
 Gossip Girl                             285.881   0         0         {Drama,Mystery}                                             
 JAG                                     227.615   0         0         {Drama,"Action & Adventure"}                                
 The Vampire Diaries                     402.026   0         0         {Drama,"Sci-Fi & Fantasy"}                                  
 The Andy Griffith Show                  295.357   0         0         {Comedy}                                                    
 ONE PIECE                               232.508   0         0         {"Action & Adventure","Sci-Fi & Fantasy"}                   
 Peaky Blinders                          439.608   0         0         {Drama,Crime}                                               
 Yellowstone                             575.216   0         0         {Western,Drama}                                             
 MacGyver                                200.416   0         0         {Drama,"Action & Adventure"}                                
 The Nanny                               266.103   0         0         {Comedy}                                                    
 Justified                               291.845   0         0         {Crime,Drama}                                               
 Titans                                  170.18    0         0         {"Action & Adventure","Sci-Fi & Fantasy",Drama}             
 Desperate Housewives                    394.324   0         0         {Mystery,Drama,Comedy}                                      
 Family Guy                              1281.251  3847      20        {Animation,Comedy}                                          
 Bluey                                   198.396   0         0         {Animation,Kids}                                            
 Star Wars: The Clone Wars               197.724   0         0         {"Action & Adventure",Animation,"Sci-Fi & Fantasy"}         
 The Voice                               287.246   0         0         {Reality}                                                   
 Coronation Street                       161.671   0         0         {Soap}                                                      
 Outlander                               223.631   0         0         {Drama,"Sci-Fi & Fantasy"}                                  
 The Last Kingdom                        227.546   0         0         {"Action & Adventure",Drama,"War & Politics"}               
 Mad Men                                 281.844   0         0         {Drama}                                                     
 Teen Titans Go!                         242.97    0         0         {Animation,Comedy,"Action & Adventure","Sci-Fi & Fantasy",Family}
 From                                    223.191   0         0         {Mystery,Drama,"Sci-Fi & Fantasy"}                          
 Better Call Saul                        241.971   0         0         {Crime,Drama}                                               
 PAW Patrol                              399.847   0         0         {Animation,Kids}                                            
 Grey's Anatomy                          1664.874  7553      32        {Drama}                                                     
 Futurama                                480.894   0         0         {Animation,Comedy,"Sci-Fi & Fantasy"}                       
 Richard Osman's House of Games          471.792   0         0         {Comedy,Talk}                                               
 Regular Show                            331.607   0         0         {Animation,Comedy}                                          
 Numb3rs                                 279.625   0         0         {Crime,Drama,Mystery}                                       
 Murder, She Wrote                       276.562   0         0         {Mystery,Crime,Drama}                                       
 Top Gear                                274.504   0         0         {Talk,"Action & Adventure",Comedy}                          
 Little House on the Prairie             271.498   0         0         {Western,Drama,Family}                                      
 It's Always Sunny in Philadelphia       266.524   0         0         {Comedy}                                                    
 Ben 10                                  270.203   0         0         {Animation,"Action & Adventure",Comedy,"Sci-Fi & Fantasy",Kids}
 The Big Bang Theory                     245.354   0         0         {Comedy}                                                    
 Spider-Man                              265.878   0         0         {Animation,"Action & Adventure"}                            
 Peppa Pig                               187.509   0         0         {Animation,Kids}                                            
 CSI: Crime Scene Investigation          474.048   6131      43        {Crime,Drama,Mystery}                                       
 Columbo                                 594.957   0         0         {Crime,Drama,Mystery}                                       
 The Good Wife                           276.331   0         0         {Drama}                                                     
 Teen Wolf                               269.1     0         0         {"Sci-Fi & Fantasy",Drama}                                  
 House Hunters                           462.911   0         0         {Reality,Documentary}                                       
 The Wire                                294.539   0         0         {Crime,Drama}                                               
 Gen V                                   337.769   0         0         {"Action & Adventure",Drama,"Sci-Fi & Fantasy"}             
 Bob's Burgers                           223.009   0         0         {Comedy,Animation}                                          
 The A-Team                              245.069   0         0         {"Action & Adventure"}                                      
 How I Met Your Mother                   500.023   0         0         {Comedy}                                                    
 24                                      365.358   0         0         {"Action & Adventure",Drama,Crime}                          
 Wednesday                               613.181   0         0         {"Sci-Fi & Fantasy",Mystery,Comedy}                         
 The Good Doctor                         554.34    0         0         {Drama}                                                     
 The Blacklist                           471.927   129       0         {Drama,Crime,Mystery}                                       
 American Horror Story                   538.273   0         0         {Drama,Mystery,"Sci-Fi & Fantasy"}                          
 The Flash                               452.409   1041      3         {Drama,"Sci-Fi & Fantasy"}                                  
 Suits                                   593.916   0         0         {Drama}                                                     
 Midsomer Murders                        920.92    0         0         {Crime,Drama,Mystery}                                       
 The Rookie                              437.257   0         0         {Crime,Drama}                                               
 Spartacus                               264.327   0         0         {Drama}                                                     
 PBS NewsHour                            395.317   0         0         {News}                                                      
 Late Night with Seth Meyers             190.245   6425      78        {Talk}                                                      
 The Sopranos                            602.29    0         0         {Drama}                                                     
 True Blood                              310.083   0         0         {"Sci-Fi & Fantasy",Drama,Mystery}                          
 Chicago P.D.                            301.086   0         0         {Crime,Drama}                                               
 Charmed                                 599.661   0         0         {Comedy,Drama,Mystery,"Sci-Fi & Fantasy"}                   
 Malcolm in the Middle                   540.348   0         0         {Family,Comedy}                                             
 Chicago Fire                            365.915   0         0         {Drama}                                                     
 Hollyoaks                               421.87    0         0         {Soap}                                                      
 Stranger Things                         354.549   0         0         {Drama,"Sci-Fi & Fantasy",Mystery}                          
 The Mandalorian                         212.049   0         0         {"Sci-Fi & Fantasy","Action & Adventure",Drama}             
 The Walking Dead: Daryl Dixon           288.701   0         0         {"Sci-Fi & Fantasy","Action & Adventure"}                   
 Gilmore Girls                           243.05    0         0         {Comedy,Drama}                                              
 Chicago Med                             271.883   6         0         {Drama}                                                     
 9-1-1                                   355.499   0         0         {Drama,Crime,"Action & Adventure"}                          
 Superman & Lois                         308.761   0         0         {"Sci-Fi & Fantasy",Drama}                                  
